block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,cube0,249.646118,449363,0.028373,0.028373,0.000000,247808000,250,250,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
1,cube0,207.706116,373871,0.028510,0.028510,0.000000,207167488,209,209,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
2,cube0,268.241669,482835,0.028836,0.028836,0.000000,270606336,273,273,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
3,cube0,259.165009,466497,0.028971,0.028971,0.000000,262676480,265,265,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
4,cube0,279.989441,503981,0.028638,0.028638,0.000000,280518656,283,283,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
5,cube0,201.874451,363374,0.028632,0.028632,0.000000,202211328,204,204,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
6,cube0,200.920563,361657,0.028204,0.028204,0.000000,198246400,200,200,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
7,cube0,173.209442,311777,0.028790,0.028790,0.000000,174456832,176,176,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
8,cube0,171.585556,308854,0.028897,0.028897,0.000000,173465600,175,175,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
9,cube0,220.533340,396960,0.028393,0.028393,0.000000,219062272,221,221,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
10,cube0,269.736664,485526,0.028886,0.028886,0.000000,272588800,275,275,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
11,cube0,243.020004,437436,0.029147,0.029147,0.000000,247808000,250,250,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
12,cube0,262.057770,471704,0.028651,0.028651,0.000000,262676480,265,265,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
13,cube0,273.348328,492027,0.028815,0.028815,0.000000,275562496,278,278,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
14,cube0,263.397217,474115,0.028936,0.028936,0.000000,266641408,269,269,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
15,cube0,300.072784,540131,0.028799,0.028799,0.000000,302325760,305,305,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
16,cube0,300.515015,540927,0.029039,0.029039,0.000000,305299456,308,308,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
17,cube0,311.307770,560354,0.028669,0.028669,0.000000,312238080,315,315,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
18,cube0,337.085541,606754,0.028915,0.028915,0.000000,340983808,344,344,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
19,cube0,348.046112,626483,0.028655,0.028655,0.000000,348913664,352,352,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
20,cube0,23.107222,41593,0.024523,0.024523,0.000000,19824640,20,20,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
21,cube0,155.670563,280207,0.028393,0.028393,0.000000,154632192,156,156,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
22,cube0,295.070557,531127,0.028903,0.028903,0.000000,298360832,301,301,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
23,cube0,412.345551,742222,0.028928,0.028928,0.000000,417308672,421,421,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
