block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,cube0,249.646118,449363,13,96,5397,638,5397,639,11.926605,89.420929,88.727425,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
1,cube0,207.706116,373871,13,96,4830,208,4828,209,11.926605,95.861046,94.962685,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
2,cube0,268.241669,482835,13,96,6355,235,6353,236,11.926605,96.426132,95.732994,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
3,cube0,259.165009,466497,13,96,6101,284,6112,273,11.926605,95.638214,94.929733,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
4,cube0,279.989441,503981,13,96,6566,252,6574,244,11.926605,96.362572,95.692978,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
5,cube0,201.874451,363374,13,80,4690,227,4698,220,13.978495,95.455009,94.691780,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
6,cube0,200.920563,361657,13,80,4659,162,4652,169,13.978495,96.567101,95.778122,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
7,cube0,173.209442,311777,13,80,3955,288,3961,283,13.978495,93.272064,92.412590,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
8,cube0,171.585556,308854,13,80,4035,185,4036,184,13.978495,95.627960,94.738075,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
9,cube0,220.533340,396960,13,80,5188,138,5175,151,13.978495,97.286896,96.565842,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
10,cube0,269.736664,485526,13,80,6470,156,6470,155,13.978495,97.653008,97.069847,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
11,cube0,243.020004,437436,13,80,5853,171,5862,163,13.978495,97.227989,96.590347,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
12,cube0,262.057770,471704,13,80,6222,163,6215,170,13.978495,97.392326,96.789238,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
13,cube0,273.348328,492027,13,80,6474,224,6480,218,13.978495,96.700508,96.130180,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
14,cube0,263.397217,474115,13,80,6319,163,6323,159,13.978495,97.516197,96.921188,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
15,cube0,300.072784,540131,13,80,7167,181,7171,176,13.978495,97.570602,97.044899,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
16,cube0,300.515015,540927,13,80,7201,219,7197,222,13.978495,97.028099,96.510849,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
17,cube0,311.307770,560354,13,80,7417,172,7424,164,13.978495,97.786125,97.275703,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
18,cube0,337.085541,606754,13,80,8097,190,8094,192,13.978495,97.695045,97.227890,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
19,cube0,348.046112,626483,13,80,8292,186,8292,187,13.978495,97.800316,97.343109,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
20,cube0,23.107222,41593,13,32,469,20,473,17,28.888889,96.220634,93.261719,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
21,cube0,155.670563,280207,13,80,3501,262,3503,260,13.978495,93.064041,92.098701,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
22,cube0,295.070557,531127,13,80,7077,174,7088,163,13.978495,97.676186,97.142860,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
23,cube0,412.345551,742222,13,80,9930,209,9919,220,13.978495,97.884407,97.501350,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
