block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,cube0,249.646118,449363,4.297617,4.297617,5.764060,7.646417,503,0.043406,752,0.988370,1,0.000004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1508.875000,2001.625000,1125.000000,1.627885,6.500000,0.012478,0.000000,0.000000,2000.000000,3.655603,N/A,N/A,N/A,N/A,
1,cube0,207.706116,373871,4.318268,4.318268,5.782370,7.684382,421,0.043617,629,0.984321,1,0.000005,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1259.375000,1673.625000,940.500000,1.635707,6.500000,0.014997,0.000000,0.000000,1672.000000,3.673168,N/A,N/A,N/A,N/A,
2,cube0,268.241669,482835,4.367662,4.367662,5.856880,7.770510,549,0.044112,821,0.991767,1,0.000004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1647.375000,2185.625000,1228.500000,1.654417,6.500000,0.011613,0.000000,0.000000,2184.000000,3.715183,N/A,N/A,N/A,N/A,
3,cube0,259.165009,466497,4.388156,4.388156,5.873874,7.807147,533,0.044320,797,0.991190,1,0.000004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1596.250000,2121.625000,1192.500000,1.662180,6.500000,0.012019,0.000000,0.000000,2120.000000,3.732616,N/A,N/A,N/A,N/A,
4,cube0,279.989441,503981,4.337679,4.337679,5.805711,7.716964,569,0.043809,851,0.988767,1,0.000004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1704.500000,2265.625000,1273.500000,1.643060,6.500000,0.011125,0.000000,0.000000,2264.000000,3.689679,N/A,N/A,N/A,N/A,
5,cube0,201.874451,363374,4.336720,4.336720,5.807685,7.717402,411,0.043803,614,0.983185,1,0.000006,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1229.375000,1633.625000,918.000000,1.642697,6.500000,0.015430,0.000000,0.000000,1632.000000,3.688864,N/A,N/A,N/A,N/A,
6,cube0,200.920563,361657,4.271872,4.271872,5.720748,7.602152,403,0.043149,602,0.982091,1,0.000006,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1205.250000,1601.625000,900.000000,1.618133,6.500000,0.015504,0.000000,0.000000,1600.000000,3.633703,N/A,N/A,N/A,N/A,
7,cube0,173.209442,311777,4.360675,4.360675,5.841074,7.761258,355,0.044048,530,0.980499,1,0.000006,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1060.875000,1409.625000,792.000000,1.651771,6.500000,0.017984,0.000000,0.000000,1408.000000,3.709240,N/A,N/A,N/A,N/A,
8,cube0,171.585556,308854,4.376934,4.376934,5.863701,7.790246,353,0.044212,527,0.979838,1,0.000006,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1055.000000,1401.625000,787.500000,1.657929,6.500000,0.018154,0.000000,0.000000,1400.000000,3.723069,N/A,N/A,N/A,N/A,
9,cube0,220.533340,396960,4.300615,4.300615,5.757938,7.652565,445,0.043438,665,0.983943,1,0.000005,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1331.500000,1769.625000,994.500000,1.629021,6.500000,0.014125,0.000000,0.000000,1768.000000,3.658153,N/A,N/A,N/A,N/A,
