block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,cube0,249.646118,449363,0.955026,0.477513,3.820105,3.820105,0.000000,7.640210,N/A,N/A,
1,cube0,207.706116,373871,0.959615,0.479808,3.838460,3.838460,0.000000,7.676921,N/A,N/A,
2,cube0,268.241669,482835,0.970592,0.485296,3.882366,3.882366,0.000000,7.764732,N/A,N/A,
3,cube0,259.165009,466497,0.975146,0.487573,3.900584,3.900584,0.000000,7.801167,N/A,N/A,
4,cube0,279.989441,503981,0.963929,0.481964,3.855714,3.855714,0.000000,7.711429,N/A,N/A,
5,cube0,201.874451,363374,0.963716,0.481858,3.854862,3.854862,0.000000,7.709725,N/A,N/A,
6,cube0,200.920563,361657,0.949305,0.474652,3.797219,3.797219,0.000000,7.594439,N/A,N/A,
7,cube0,173.209442,311777,0.969039,0.484519,3.876155,3.876155,0.000000,7.752311,N/A,N/A,
8,cube0,171.585556,308854,0.972652,0.486326,3.890607,3.890607,0.000000,7.781215,N/A,N/A,
9,cube0,220.533340,396960,0.955692,0.477846,3.822769,3.822769,0.000000,7.645539,N/A,N/A,
10,cube0,269.736664,485526,0.972283,0.486142,3.889133,3.889133,0.000000,7.778266,N/A,N/A,
11,cube0,243.020004,437436,0.981066,0.490533,3.924263,3.924263,0.000000,7.848525,N/A,N/A,
12,cube0,262.057770,471704,0.964382,0.482191,3.857527,3.857527,0.000000,7.715053,N/A,N/A,
13,cube0,273.348328,492027,0.969903,0.484952,3.879613,3.879613,0.000000,7.759227,N/A,N/A,
14,cube0,263.397217,474115,0.973960,0.486980,3.895841,3.895841,0.000000,7.791681,N/A,N/A,
15,cube0,300.072784,540131,0.969334,0.484667,3.877335,3.877335,0.000000,7.754670,N/A,N/A,
16,cube0,300.515015,540927,0.977428,0.488714,3.909711,3.909711,0.000000,7.819421,N/A,N/A,
17,cube0,311.307770,560354,0.964985,0.482493,3.859941,3.859941,0.000000,7.719882,N/A,N/A,
18,cube0,337.085541,606754,0.973237,0.486618,3.892946,3.892946,0.000000,7.785892,N/A,N/A,
19,cube0,348.046112,626483,0.964508,0.482254,3.858033,3.858033,0.000000,7.716066,N/A,N/A,
20,cube0,23.107222,41593,0.825434,0.412717,3.301736,3.301736,0.000000,6.603472,N/A,N/A,
21,cube0,155.670563,280207,0.955693,0.477846,3.822770,3.822770,0.000000,7.645540,N/A,N/A,
22,cube0,295.070557,531127,0.972838,0.486419,3.891354,3.891354,0.000000,7.782707,N/A,N/A,
23,cube0,412.345551,742222,0.973690,0.486845,3.894761,3.894761,0.000000,7.789523,N/A,N/A,
