block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,cube0,249.646118,449363,N/A,N/A,N/A,N/A,N/A,N/A,
1,cube0,207.706116,373871,N/A,N/A,N/A,N/A,N/A,N/A,
2,cube0,268.241669,482835,N/A,N/A,N/A,N/A,N/A,N/A,
3,cube0,259.165009,466497,N/A,N/A,N/A,N/A,N/A,N/A,
4,cube0,279.989441,503981,N/A,N/A,N/A,N/A,N/A,N/A,
5,cube0,201.874451,363374,N/A,N/A,N/A,N/A,N/A,N/A,
6,cube0,200.920563,361657,N/A,N/A,N/A,N/A,N/A,N/A,
7,cube0,173.209442,311777,N/A,N/A,N/A,N/A,N/A,N/A,
8,cube0,171.585556,308854,N/A,N/A,N/A,N/A,N/A,N/A,
9,cube0,220.533340,396960,N/A,N/A,N/A,N/A,N/A,N/A,
10,cube0,269.736664,485526,N/A,N/A,N/A,N/A,N/A,N/A,
11,cube0,243.020004,437436,N/A,N/A,N/A,N/A,N/A,N/A,
12,cube0,262.057770,471704,N/A,N/A,N/A,N/A,N/A,N/A,
13,cube0,273.348328,492027,N/A,N/A,N/A,N/A,N/A,N/A,
14,cube0,263.397217,474115,N/A,N/A,N/A,N/A,N/A,N/A,
15,cube0,300.072784,540131,N/A,N/A,N/A,N/A,N/A,N/A,
16,cube0,300.515015,540927,N/A,N/A,N/A,N/A,N/A,N/A,
17,cube0,311.307770,560354,N/A,N/A,N/A,N/A,N/A,N/A,
18,cube0,337.085541,606754,N/A,N/A,N/A,N/A,N/A,N/A,
19,cube0,348.046112,626483,N/A,N/A,N/A,N/A,N/A,N/A,
20,cube0,23.107222,41593,N/A,N/A,N/A,N/A,N/A,N/A,
21,cube0,155.670563,280207,N/A,N/A,N/A,N/A,N/A,N/A,
22,cube0,295.070557,531127,N/A,N/A,N/A,N/A,N/A,N/A,
23,cube0,412.345551,742222,N/A,N/A,N/A,N/A,N/A,N/A,
