block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,
0,cube0,249.646118,449363,7.083333,0.028373,112.208336,0.449470,10.836111,0.043406,246.742783,0.988370,0.001111,0.000004,67.462776,0.270234,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
1,cube0,207.706116,373871,5.921667,0.028510,93.521111,0.450257,9.059444,0.043617,204.449448,0.984321,0.001111,0.000005,59.089443,0.284486,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
2,cube0,268.241669,482835,7.735000,0.028836,121.702225,0.453704,11.832778,0.044112,266.033325,0.991767,0.001111,0.000004,69.599442,0.259465,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
3,cube0,259.165009,466497,7.508333,0.028971,116.544998,0.449694,11.486111,0.044320,256.881653,0.991190,0.001111,0.000004,68.421669,0.264008,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
4,cube0,279.989441,503981,8.018333,0.028638,125.173889,0.447066,12.266111,0.043809,276.844452,0.988767,0.001111,0.000004,67.500557,0.241083,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
5,cube0,201.874451,363374,5.780000,0.028632,91.084999,0.451196,8.842778,0.043803,198.479996,0.983185,0.001111,0.000006,50.801109,0.251647,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
6,cube0,200.920563,361657,5.666667,0.028204,89.523888,0.445569,8.669444,0.043149,197.322220,0.982091,0.001111,0.000006,51.524445,0.256442,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
7,cube0,173.209442,311777,4.986667,0.028790,79.043892,0.456349,7.629445,0.044048,169.831665,0.980499,0.001111,0.000006,46.521111,0.268583,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
8,cube0,171.585556,308854,4.958333,0.028897,78.239998,0.455982,7.586111,0.044212,168.126114,0.979838,0.001111,0.000006,46.438332,0.270642,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
9,cube0,220.533340,396960,6.261667,0.028393,98.271111,0.445607,9.579445,0.043438,216.992218,0.983943,0.001111,0.000005,52.744446,0.239168,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
