block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte1_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
0,cube0,249.646118,449363,0.980637,0.983646,0.982406,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
1,cube0,207.706116,373871,0.989007,0.980172,0.979410,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
2,cube0,268.241669,482835,0.985871,0.987751,0.987240,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
3,cube0,259.165009,466497,0.986405,0.987226,0.986649,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
4,cube0,279.989441,503981,0.980759,0.984747,0.984303,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
5,cube0,201.874451,363374,0.976060,0.979005,0.978108,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
6,cube0,200.920563,361657,0.974387,0.977689,0.976868,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
7,cube0,173.209442,311777,0.985079,0.976057,0.975017,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
8,cube0,171.585556,308854,0.979304,0.975506,0.974370,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
9,cube0,220.533340,396960,0.987185,0.979723,0.979099,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
10,cube0,269.736664,485526,0.995467,0.987537,0.987162,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
11,cube0,243.020004,437436,0.988055,0.985692,0.985081,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
12,cube0,262.057770,471704,0.991732,0.984711,0.984136,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
13,cube0,273.348328,492027,0.978603,0.986795,0.986356,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
14,cube0,263.397217,474115,0.986172,0.985653,0.985118,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
15,cube0,300.072784,540131,0.986753,0.987198,0.986942,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
16,cube0,300.515015,540927,0.984845,0.986617,0.986250,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
17,cube0,311.307770,560354,0.990047,0.987326,0.986983,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
18,cube0,337.085541,606754,0.981452,0.987041,0.986787,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
19,cube0,348.046112,626483,0.987724,0.988217,0.988036,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
20,cube0,23.107222,41593,0.867285,0.866901,0.855841,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
21,cube0,155.670563,280207,0.985240,0.976499,0.975250,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
22,cube0,295.070557,531127,0.981014,0.985203,0.984894,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
23,cube0,412.345551,742222,0.992167,0.989374,0.989231,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
